business_id,latitude,longitude,attributes.Price Range,review_count,stars
vcNAWiLM4dR7D2nwwJ7nCA,33.499313,-111.983758,0,9,3.5
UsFtqoBl7naz8AVUBZMjQQ,40.350519,-79.88693,1,4,3.5
cE27W9VPgO88Qxe4ol6y_g,40.3568962,-80.01591,0,5,2.5
HZdLhv6COCleJMo7nPl-RA,40.35762,-80.05998,0,3,3.5
mVHrayjG3uZ_RLHkLj-AMg,40.408735,-79.8663507,1,11,4.5
KayYbHCt-RkbGcPdGOThNg,40.415517,-80.067534,1,15,4
b12U9TFESStdy7CsTtcOeg,40.394588,-80.0844539,0,5,1.5
Sktj1eHQFuVa-M4bgnEh8g,40.4054039,-80.0762665,0,4,4
3ZVKmuK2l7uXPE6lXY4Dbg,40.406324,-80.090357,0,3,2.5
wJr6kSA5dchdgOdwH6dZ2w,40.3877323,-80.0928745,1,8,3.5
yXuao0pFz1AxB21vJjDf5w,40.3877323,-80.0928745,3,3,3.5
fNGIbpazjTRdXgwRY_NIXA,40.3964688,-80.0849416,2,5,4
b9WZJp5L1RZr4F1nxclOoQ,40.3967441,-80.0847998,1,38,4.5
zaXDakTd3RXyOa7sMrUE1g,40.404638,-80.089985,1,5,4
zgy27FSnvwdINfk5cXBIyQ,40.417419,-80.088557,2,5,4
WETE_LykpcnrC1sFcQ5EGg,40.40867,-80.085279,2,6,3.5
6o3RK6rTcN3nw-j-r2nQmA,40.4085677,-80.0849924,0,4,2.5
woOVJ0Z2f6XNCDntHA3b_g,40.4078889,-80.08606,0,5,5
rv7CY8G_XibTx82YhuqQRw,40.3868915,-80.0937037,1,3,3.5
e_U_FnpdKVgNb4mUN2cU_Q,40.39076,-80.078657,0,6,2
SQ0j7bgSTazkVQlF5AnqyQ,40.408343,-80.084861,1,8,2.5
wqu7ILomIOPSduRwoWp4AQ,40.391255,-80.073426,1,7,4
1u2NauOy8xDj7aFQET680A,40.394305,-80.060154,0,5,2.5
P1fJb2WQ1mXoiudj8UE44w,40.4082572,-80.0854582,2,46,3.5
